bp,bm,cp,cm
882,756,2240,2028
882,756,2251,2039
882,756,2262,2050
882,756,2273,2061
883,757,2284,2071
883,757,2295,2082
882,756,2305,2093
882,756,2316,2104
882,756,2326,2114
883,757,2337,2124
882,756,2348,2136
883,757,2359,2147
882,757,2369,2156
883,756,2379,2167
882,756,2389,2177
882,757,2399,2187
882,756,2410,2198
883,757,2420,2208
882,756,2430,2218
882,756,2441,2229
882,757,2452,2240
883,757,2463,2251
882,756,2473,2260
882,756,2482,2270
883,757,2493,2281
883,756,2503,2291
883,756,2514,2301
882,757,2524,2312
882,757,2535,2322
883,757,2545,2332
883,757,2555,2343
883,757,2566,2353
882,757,2575,2364
882,757,2586,2373
882,757,2595,2382
882,757,2605,2393
882,757,2616,2403
882,757,2626,2414
882,757,2637,2424
883,757,2647,2435
882,756,2657,2444
882,757,2666,2454
883,757,2677,2464
883,757,2687,2474
882,757,2696,2484
1096,422,0,0
1096,425,10,9
1096,428,21,19
1097,431,33,30
1096,434,44,39
1097,436,55,49
1097,439,66,59
1097,442,78,70
1097,444,89,79
1096,447,100,89
1096,449,112,100
1096,452,123,109
1096,454,134,119
1096,457,145,129
1096,459,157,139
1096,462,168,149
1096,465,180,160
1096,467,192,170
1096,470,202,179
1096,472,214,189
1096,474,225,199
1096,476,236,208
1096,479,247,218
1096,481,258,228
1096,484,268,237
1097,486,280,248
1096,488,290,257
1097,491,302,266
1096,493,313,276
1096,495,324,286
1096,497,335,295
1096,499,346,305
1096,502,357,315
1096,504,367,324
1096,506,378,334
1096,509,389,343
1096,511,400,353
1096,513,411,362
1096,515,422,372
1097,517,433,381
1097,519,444,391
1096,522,455,400
1096,523,466,410
1096,526,477,420
1096,528,488,429
1096,530,499,439
1096,533,509,448
1096,534,520,457
1096,537,530,466
1096,538,541,476
1096,541,551,485
1097,543,562,495
1096,545,573,504
1097,547,583,514
1096,549,595,523
1096,551,605,532
1096,553,616,542
1096,555,627,551
1096,558,638,560
1096,560,649,570
1096,562,660,580
1096,564,670,589
1096,566,681,598
1096,568,691,608
1096,570,702,617
1096,572,713,627
1096,574,724,636
1096,577,735,646
1096,579,745,655
1096,580,756,664
1096,583,766,673
1096,585,778,683
1096,587,788,692
1096,589,799,701
1096,591,810,711
1096,593,820,720
1096,595,831,729
1096,597,841,739
1096,599,852,748
1096,601,863,757
1096,603,873,766
1096,605,883,775
1096,607,893,783
1096,609,903,793
1096,611,914,803
1096,613,925,812
1096,615,935,820
1096,618,946,830
1096,620,958,840
1097,622,968,849
1096,623,978,858
1097,625,988,867
1096,627,999,876
1097,629,1009,886
1097,632,1020,895
1097,634,1031,904
1096,636,1042,914
1096,638,1052,923
1097,640,1063,932
1097,642,1074,942
1097,643,1084,950
1096,646,1094,960
1097,648,1105,969
1096,650,1115,978
1096,652,1126,987
1096,654,1137,996
1096,656,1148,1006
1097,658,1158,1016
1097,660,1168,1024
1097,662,1180,1034
1097,664,1190,1043
1097,666,1201,1052
1097,668,1211,1061
1097,670,1221,1071
1096,673,1232,1080
1097,674,1243,1089
1097,676,1253,1099
1097,678,1265,1108
1097,681,1275,1117
1097,683,1285,1126
1097,685,1296,1136
1097,687,1307,1146
1096,689,1317,1155
1097,691,1328,1164
1097,693,1339,1173
1097,695,1349,1182
1097,697,1359,1191
1097,699,1371,1201
1097,701,1381,1210
1096,703,1392,1220
1097,705,1402,1228
1096,707,1412,1238
1096,709,1423,1247
1096,711,1434,1255
1097,713,1444,1264
1097,715,1454,1274
1097,717,1464,1282
1096,719,1474,1291
1097,721,1485,1300
1097,723,1497,1311
1097,725,1507,1320
1097,727,1517,1328
